[2025-03-11 12:50:47] info: User ID: 2, Activity: Login attempt, Status: success, Details: User logged in successfully
[2025-03-11 12:51:26] info: User ID: 2, Activity: Login attempt, Status: success, Details: User logged in successfully
[2025-03-11 12:52:18] info: User ID: 2, Activity: Login attempt, Status: success, Details: User logged in successfully
[2025-03-11 12:53:07] info: User ID: 2, Activity: Login attempt, Status: success, Details: User logged in successfully
[2025-03-11 12:53:27] info: User ID: 2, Activity: Viewed paginated exams, Status: success, Details: Page: 1, Limit: 10
[2025-03-11 12:55:12] info: User ID: 2, Activity: Viewed paginated exams, Status: success, Details: Page: 1, Limit: 10
[2025-03-11 12:55:31] info: User ID: 2, Activity: Login attempt, Status: success, Details: User logged in successfully
[2025-03-11 12:55:41] info: User ID: 2, Activity: Viewed paginated exams, Status: success, Details: Page: 1, Limit: 10
[2025-03-11 12:59:48] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = undefined
[2025-03-11 13:05:45] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = undefined
[2025-03-11 13:58:26] info: User ID: 2, Activity: Login attempt, Status: success, Details: User logged in successfully
[2025-03-11 13:58:37] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = undefined
[2025-03-11 14:05:00] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = undefined
[2025-03-11 14:53:26] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = past
[2025-03-11 14:54:21] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = past
[2025-03-11 16:21:03] info: User ID: 2, Activity: Login attempt, Status: success, Details: User logged in successfully
[2025-03-11 16:23:46] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = live
[2025-03-11 16:23:46] info: User ID: 2, Activity: View Results, Status: success, Details: Results found
[2025-03-11 16:23:46] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:23:47] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:12] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = past
[2025-03-11 16:24:12] info: User ID: 2, Activity: View Results, Status: success, Details: Results found
[2025-03-11 16:24:13] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:14] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:14] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:14] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:14] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:14] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:14] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:15] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:16] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:16] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:16] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:16] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:16] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:16] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:16] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:16] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:17] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:17] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:17] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:17] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:17] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:17] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:17] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:17] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:18] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:18] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:18] info: User ID: 2, Activity: View Responses, Status: success, Details: Responses found
[2025-03-11 16:24:19] info: User ID: 2, Activity: Viewed exams for user, Status: success, Details: Filters applied: Status = live
